Number of elements (N),MergeSort(with NO Cut off),MergeSort(with Cut off =5),MergeSort(with Cut off =10),MergeSort(with Cut off =15),MergeSort(with Cut off =20),MergeSort(with Cut off =25),MergeSort(with Cut off =30)
250,61667,116571,32909,37182,37551,34714,47066
500,78462,100640,58335,52873,57828,70250,62485
1000,91350,113526,135566,123251,123540,112449,107139
2000,226132,298253,234149,284455,281343,309372,259823
4000,915372,1411945,1103278,838016,636233,446347,439851
8000,996436,1041406,1197742,1089682,1084535,1114959,1305034
16000,4203635,3144302,2341600,1815670,1805125,2721126,1924824
32000,6763816,4817007,5386087,5194724,4948464,4649011,3960287
64000,10063023,11209902,7954885,12288112,9055975,11559381,9810082
128000,24084266,21752421,21400792,20369646,23772851,17606546,26525621
256000,37828603,40355463,42116440,35237107,45047818,44696811,45797020
512000,76302319,114652567,101762604,83784942,83788944,87557663,77826946
