Number of elements (N),Time for MergeSort(with Cut off =5) algorithm (ns),Time for MergeSort(with Cut off =10) algorithm (ns),Time for MergeSort(with Cut off =15) algorithm (ns)
100,36546.0,31036.0,227670.0
200,34056.0,24152.0,24638.0
400,51118.0,174522.0,49188.0
800,182942.0,103298.0,97232.0
1600,329370.0,193042.0,209074.0
3200,398542.0,440604.0,420226.0
6400,846222.0,928760.0,709240.0
12800,1670824.0,1849214.0,3807486.0
25600,4071986.0,4082126.0,3499470.0
51200,9169584.0,1.1504254E7,1.013702E7
102400,1.0220886E7,9848686.0,1.076344E7
204800,2.0874444E7,2.161807E7,2.1026288E7
409600,4.280284E7,4.3317134E7,4.1715168E7
819200,8.461665E7,8.4850616E7,8.5627768E7
