Number of elements (N),MergeSort(with Cut off =1),MergeSort(with Cut off =2),MergeSort(with Cut off =3),MergeSort(with Cut off =4),MergeSort(with Cut off =5),MergeSort(with Cut off =6),MergeSort(with Cut off =7),MergeSort(with Cut off =8),MergeSort(with Cut off =9),MergeSort(with Cut off =10),MergeSort(with Cut off =11),MergeSort(with Cut off =12),MergeSort(with Cut off =13),MergeSort(with Cut off =14),MergeSort(with Cut off =15),MergeSort(with Cut off =16),MergeSort(with Cut off =17),MergeSort(with Cut off =18),MergeSort(with Cut off =19),MergeSort(with Cut off =20),MergeSort(with Cut off =21),MergeSort(with Cut off =22),MergeSort(with Cut off =23),MergeSort(with Cut off =24),MergeSort(with Cut off =25),MergeSort(with Cut off =26),MergeSort(with Cut off =27),MergeSort(with Cut off =28),MergeSort(with Cut off =29),MergeSort(with Cut off =30)
1000,1,2,0,1,0,1,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2000,4,6,2,1,1,3,3,3,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,0,1,1,2,1
4000,3,4,3,4,3,2,3,3,2,1,2,1,2,3,2,2,2,2,3,1,2,0,1,2,1,1,2,2,3,2
8000,5,2,5,7,5,4,3,5,3,5,5,6,3,4,2,2,3,4,4,4,5,6,5,2,6,4,5,4,2,3
16000,10,8,9,11,9,9,10,7,9,10,5,8,9,9,10,8,14,29,10,10,10,8,9,7,11,8,7,7,8,11
32000,22,22,20,14,18,19,14,17,15,15,16,16,18,14,13,15,14,12,20,21,16,15,15,16,14,19,18,18,16,15
64000,38,38,36,36,66,43,68,45,44,49,57,56,45,51,53,69,38,40,33,32,38,31,29,34,31,26,25,27,25,25
128000,59,58,55,56,57,56,54,56,56,54,53,54,54,51,53,50,51,50,50,51,50,51,50,50,52,54,50,50,51,51
256000,128,126,121,122,120,120,112,111,139,129,124,125,121,161,109,110,120,116,111,109,110,110,106,109,108,111,111,107,111,108
512000,261,255,246,244,243,244,234,231,235,239,233,231,237,229,220,223,226,222,220,222,226,222,224,224,224,220,220,219,229,223
